[2023-04-22 02:45:43 PM-Train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.28093333333333337]
[2023-04-22 02:45:46 PM-Train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.42761774193548396]
[2023-04-22 02:45:53 PM-Train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.563137]
[2023-04-22 02:46:17 PM-Train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.34337631578947414]
[2023-04-22 02:46:38 PM-Train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.24813061224489788]
[2023-04-22 02:47:37 PM-Train.py-INFO:##############################################################################best:0.3493716791979949]
[2023-04-22 03:01:11 PM-Train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.3619783333333333]
[2023-04-22 03:01:15 PM-Train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.5010645161290322]
[2023-04-22 03:01:21 PM-Train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.6322859999999999]
[2023-04-22 03:01:45 PM-Train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.3956776315789476]
[2023-04-22 03:02:06 PM-Train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.31871989795918376]
[2023-04-22 03:03:08 PM-Train.py-INFO:##############################################################################best:0.4120800751879699]
[2023-04-22 03:16:42 PM-Train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.5239183333333332]
[2023-04-22 03:16:47 PM-Train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.6249677419354839]
[2023-04-22 03:16:55 PM-Train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.710356]
[2023-04-22 03:17:25 PM-Train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.5028984210526314]
[2023-04-22 03:17:46 PM-Train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.42609540816326497]
[2023-04-22 03:18:45 PM-Train.py-INFO:##############################################################################best:0.5210962406015041]
[2023-04-22 03:32:19 PM-Train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.57386]
[2023-04-22 03:32:22 PM-Train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.6848725806451614]
[2023-04-22 03:32:29 PM-Train.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.7486710000000002]
[2023-04-22 03:32:53 PM-Train.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.572200526315789]
[2023-04-22 03:33:16 PM-Train.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.47760459183673476]
[2023-04-22 03:34:24 PM-Train.py-INFO:##############################################################################best:0.5799592731829574]
[2023-04-22 03:47:57 PM-Train.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.80456]
[2023-04-22 03:48:00 PM-Train.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.8443258064516129]
[2023-04-22 03:48:07 PM-Train.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.857368]
[2023-04-22 03:48:30 PM-Train.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.7096521052631577]
[2023-04-22 03:48:51 PM-Train.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.6365107142857145]
[2023-04-22 03:49:59 PM-Train.py-INFO:##############################################################################best:0.7277976190476186]
[2023-04-22 04:03:32 PM-Train.py-INFO:epoch: 6, dataset: CVC-300, dice: 0.7831783333333334]
[2023-04-22 04:03:35 PM-Train.py-INFO:epoch: 6, dataset: CVC-ClinicDB, dice: 0.8495000000000001]
[2023-04-22 04:03:42 PM-Train.py-INFO:epoch: 6, dataset: Kvasir, dice: 0.846277]
[2023-04-22 04:04:06 PM-Train.py-INFO:epoch: 6, dataset: CVC-ColonDB, dice: 0.6954849999999998]
[2023-04-22 04:04:27 PM-Train.py-INFO:epoch: 6, dataset: ETIS-LaribPolypDB, dice: 0.6797464285714294]
[2023-04-22 04:05:27 PM-Train.py-INFO:##############################################################################best:0.7290751879699244]
[2023-04-22 04:19:01 PM-Train.py-INFO:epoch: 7, dataset: CVC-300, dice: 0.8045466666666666]
[2023-04-22 04:19:04 PM-Train.py-INFO:epoch: 7, dataset: CVC-ClinicDB, dice: 0.8705887096774192]
[2023-04-22 04:19:11 PM-Train.py-INFO:epoch: 7, dataset: Kvasir, dice: 0.869475]
